区名称,学校代码,招生学校,录取最低分,是否同分优待,语数外,数学,语文,综合
黄浦区,12006,上海市向明中学（浦江校区）,679.5,,401.5,133,132,134
黄浦区,13002,上海市五爱高级中学,658,,383,116,143,132
黄浦区,14006,上海市同济黄浦设计创意中学,628,,367,110,124,119
徐汇区,42002,上海市第二中学（梅陇校区）,682.5,,400.5,127,129,134
徐汇区,42032,上海市上海中学,710.5,,424.5,146,137,142
徐汇区,44083,上海市民办西南高级中学,632.5,,367,112,126,126
静安区,63008,上海市久隆模范中学,621,,365.5,118,117,120
静安区,64020,上海田家炳中学,630.5,,378.5,114,123,112
静安区,69004,上海戏剧学院附属高级中学（艺术班）,619.5,,355.5,99,129,119
普陀区,74081,上海安生学校,550.5,,319,94,114,96
普陀区,79016,上海音乐学院附属安师实验中学（艺术班）,552.5,,321,86,106,103
杨浦区,102056,上海交通大学附属中学,710,,421,138,136,142
杨浦区,102057,复旦大学附属中学,710,,421.5,145,132,142
闵行区,122001,上海市七宝中学,691.5,,403.5,123,136,143
闵行区,122002,华东师范大学第二附属中学闵行紫竹分校,687.5,,404.5,127,135,137
闵行区,122003,上海师范大学附属中学闵行分校,684,,402,126,134,137
闵行区,122004,上海交通大学附属中学闵行分校,690.5,,405.5,137,129,140
闵行区,123001,上海市闵行中学,678,,396,133,127,140
闵行区,123002,上海市莘庄中学,664.5,,388.5,125,125,134
闵行区,123003,上海外国语大学闵行外国语中学,673,,400,124,132,131
闵行区,124005,华东理工大学附属闵行科技高级中学,646.5,,381.5,112,129,124
闵行区,124006,上海市闵行第三中学,651.5,,384.5,127,122,125
闵行区,124007,上海市闵行区教育学院附属友爱实验中学,632,,363,104,132,126
闵行区,124011,上海市七宝中学附属鑫都实验中学,661.5,,398.5,131,126,120
闵行区,124012,上海市闵行中学东校,639.5,,377,118,132,122
闵行区,124013,上海市闵行区实验高级中学,628.5,,365.5,111,120,123
闵行区,124015,上海市七宝中学浦江分校,657.5,,375.5,120,115,140
闵行区,124019,上海中医药大学附属浦江高级中学,613,,343,117,124,126
闵行区,124020,上海市金汇高级中学,605,,356,119,117,118
闵行区,124022,北京外国语大学附属上海闵行田园高级中学,636,,365,119,123,130
闵行区,124024,上海市古美高级中学,620.5,,356,111,120,121
闵行区,124108,上海市文来中学,646.5,,378,116,127,124
闵行区,124109,上海市民办文绮中学,623,,366,120,128,124
闵行区,124114,上海市闵行区教育学院附属中学,598,,344.5,97,125,112
闵行区,124115,上海闵行区协和双语教科学校,592.5,,350.5,103,119,102
闵行区,124116,上海市民办燎原双语高级中学,589.5,,330,101,118,123
闵行区,125008,上海交通大学附属闵行实验学校,660,,384,125,124,135
闵行区,125115,上海闵行区万科双语学校,551.5,,320,95,116,97
闵行区,125117,上海闵行区诺达双语学校,536,,296.5,65,123,104
闵行区,125119,上海闵行区民办德闳学校,518,,293,94,123,91
宝山区,134010,上海民办行中中学,518,,324.5,90,115,74
宝山区,134012,上海存志高级中学,617.5,,360.5,101,124,118
宝山区,134013,上海宝山区民办维尚高级中学,657,,387,113,130,128
宝山区,134014,上海创艺高级中学,519.5,,287,107,107,97
宝山区,134015,上海市宝山华曜高级中学,615.5,,358.5,93,130,117
宝山区,135001,上海市同洲模范学校,579.5,,354,97,130,95
宝山区,135003,上海金瑞学校,518,,340.5,116,119,109
宝山区,135034,上海宝山区世外学校,671.5,,397,127,130,134
嘉定区,145007,上海市民办远东学校,584.5,,336,94,121,116
嘉定区,145018,上海华旭双语学校,518,,296,84,111,87
嘉定区,145030,上海嘉定区民办华盛怀少学校,544.5,,291,108,100,122
浦东新区,152003,华东师范大学第二附属中学,710,,426.5,142,139,139
浦东新区,152006,上海师范大学附属中学,687.5,,402.5,135,126,142
浦东新区,154033,上海市浦东新区民办浦实高级中学,576.5,,324.5,104,119,110
浦东新区,154039,上海市民办丰华高级中学,586,,335,112,113,113
浦东新区,154048,民办上海工商外国语职业学院附属中学,588.5,,349.5,105,110,105
浦东新区,155013,上海市民办金苹果学校,574.5,,323,101,117,122
浦东新区,155041,上海浦东新区民办东鼎外国语学校,578,,331,104,120,111
浦东新区,155043,上海市民办尚德实验学校,620,,348,110,125,132
金山区,164005,上海市民办交大南洋中学,581.5,,319.5,100,118,122
金山区,164008,上海市民办永昌中学,564,,321.5,103,122,107
金山区,165004,上海金山区世外学校,619,,369,117,120,115
松江区,173002,上海市松江区科德高级中学,518,,,,,
松江区,174008,上海市松江九峰实验学校,637,,374,114,127,121
松江区,174013,上海领科双语学校,612.5,,376.5,111,124,99
松江区,175018,上海市西外外国语学校,577.5,,316.5,102,114,123
松江区,175024,上海赫贤学校,555,,319.5,100,120,107
青浦区,184006,上海青浦区世外高级中学,655.5,,382.5,115,128,132
青浦区,184007,上海青浦区宏润博源高级中学,518,,,,,
青浦区,185008,上海宋庆龄学校,608.5,是,,,,
青浦区,185014,上海青浦区协和双语学校,518,,287.5,84,114,109
奉贤区,204020,上海美达菲双语高级中学,571.5,,311.5,95,120,123
奉贤区,205006,上海奉贤区博华双语学校,581,,344.5,111,120,103
崇明区,514010,上海民办民一中学,563,,332.5,93,116,98
