年份,批次,招生学校,最低分,语数英,数学,语文,综测,名额
2023,分配到区,上海市上海中学,710.5,423.5,140,136,139,8
2023,分配到区,复旦大学附属中学,710,424,138,137,138,10
2023,分配到区,华东师范大学第二附属中学,708,422,140,136,139,10
2023,分配到区,复旦大学附属中学青浦分校,708,428,142,140,134,2
2023,分配到区,上海交通大学附属中学,707.5,418.5,137,135,141,8
2023,分配到区,华东师范大学第二附属中学（紫竹校区）,706.5,417.5,133,138,141,10
2023,分配到区,上海交通大学附属中学嘉定分校,705,418,138,132,140,8
2023,分配到区,上海市七宝中学,704.5,413.5,137,132,141,3
2023,分配到区,华东师范大学第二附属中学（普陀校区）,703.5,418.5,143,130,141,4
2023,分配到区,上海市南洋模范中学,702.5,413.5,131,137,136,3
2023,分配到区,上海市松江二中,702,413,140,131,142,2
2023,分配到区,上海市建平中学,699,409,142,126,144,4
2023,分配到区,上海市浦东复旦附中分校,697,415,136,133,133,4
2023,分配到区,华东师范大学第二附属中学（宝山校区）,695.5,409.5,132,132,139,3
2023,分配到区,上海市位育中学,694,421,137,141,129,2
2023,分配到区,上海市曹杨第二中学,694,409,138,130,139,11
2023,分配到区,华东师范大学第二附属中学松江分校,691.5,410.5,138,128,139,2
2023,分配到区,上海市嘉定区第一中学,690.5,406.5,136,130,140,7
2023,分配到区,上海市延安中学,690,408,127,135,136,3
2023,分配到区,上海师范大学附属中学,687,410,138,127,131,3
2023,分配到区,上海市复旦中学,686,402,133,132,142,3
2023,分配到区,上海中学东校,686,401,133,127,139,2
2023,分配到区,上海市大同中学,685.5,404.5,135,129,138,5
2023,分配到区,上海市进才中学,685,399,128,131,139,6
2023,分配到区,上海市奉贤中学,683.5,401.5,132,131,139,1
2023,分配到区,上海市行知中学,683,404,133,130,136,8
2023,分配到区,上海市育才中学,682.5,403.5,129,133,133,3
2023,分配到区,上海外国语大学附属外国语学校松江云间中学,682.5,404.5,128,131,130,3
2023,分配到区,上海市格致中学,681,394,127,125,134,8
2023,分配到区,上海市晋元高级中学,681,399,128,127,136,8
2023,分配到区,上海师范大学附属中学闵行分校,681,404,139,127,133,1
2023,分配到区,华东师范大学第一附属中学,680,401,131,132,134,4
2023,分配到区,上海市控江中学,679.5,400.5,128,136,131,6
2023,分配到区,上海大学附属中学,678.5,404.5,132,128,131,8
2023,分配到区,上海师范大学附属中学宝山分校,678.5,405.5,123,138,127,1
2023,分配到区,上海市第二中学,678,397,129,128,138,2
2023,分配到区,上海市复兴高级中学,678,403,131,130,131,5
2023,分配到区,上海市洋泾中学,678,400,125,134,131,6
2023,分配到区,上海市市北中学,676,392,140,123,137,1
2023,分配到区,上海市闵行中学,675.5,402.5,130,134,132,9
2023,分配到区,上海市南洋中学,672.5,383.5,120,131,143,2
2023,分配到区,上海市青浦高级中学,672.5,395.5,121,135,131,5
2023,分配到区,上海市杨浦高级中学,671.5,390.5,123,127,136,2
2023,分配到区,同济大学第一附属中学,669.5,391.5,132,121,136,10
2023,分配到区,上海市金山中学,669,390,124,126,131,4
2023,分配到区,华东师范大学第三附属中学,668,400,129,128,124,2
2023,分配到区,上海市第三女子中学,665.5,393.5,118,133,127,4
2023,分配到区,上海市吴淞中学,664,392,129,126,130,12
2023,分配到区,上海市川沙中学,663,401,129,133,117,5
2023,分配到区,上海南汇中学,660,384,117,134,130,12
2023,分配到区,上海市宜川中学,659.5,390.5,124,126,123,5
2023,分配到区,上海市朱家角中学,659.5,396.5,131,125,120,7
2023,分配到区,上海市卢湾高级中学,658,386,124,123,128,6
2023,分配到区,上海市回民中学,658,390,123,127,124,3
2023,分配到区,上海市新中高级中学,656,386,120,131,128,4
2023,分配到区,上海财经大学附属北郊高级中学,654,375,130,116,135,2
2023,分配到区,上海市崇明中学,651,392,130,130,115,3
2023,分配到区,上海市华东模范中学,648.5,377.5,127,126,124,2
