学校名称,学校招生代码,计划数,收费标准
上海市嘉定区第一中学,142001,100,2000
上海交通大学附属中学嘉定分校,142002,122,2000
上海市嘉定区第二中学,143001,459,1200
上海市嘉定区嘉一实验高级中学,142003,270,1200
上海师范大学附属嘉定高级中学,143002,450,1200
上海市嘉定区安亭高级中学,143003,360,1200
上海大学附属嘉定高级中学,144011,360,1200
上海市嘉定区中光高级中学,144010,360,900
上海市嘉定区封浜高级中学,144006,450,900
上海市民办远东学校,145007,193,21600
上海华旭双语学校,145018,120,84500
上海嘉定区民办华盛怀少学校,145030,28,80000
上海市上海中学,042032,1,2000
上海交通大学附属中学,102056,1,2000
复旦大学附属中学,102057,1,2000
华东师范大学第二附属中学,152003,1,2000
上海师范大学附属中学,152006,1,1500
上海市五爱高级中学,13002,6,1200
上海市同济黄浦设计创意中学,14006,2,900
上海田家炳中学,64020,2,18700
上海戏剧学院附属高级中学（艺术班）,69004,4,900
上海音乐学院附属安师实验中学（艺术班）,79016,2,900
上海存志高级中学,134012,6,55000
上海创艺高级中学,134014,4,62000
上海市宝山华曜高级中学,134015,4,42000
上海市同洲模范学校,135001,5,25200
上海金瑞学校,135003,5,75000
上海宝山区世外学校,135034,5,59000
上海市民办丰华高级中学,154039,1,18000
民办上海工商外国语职业学院附属中学,154048,2,16800
上海浦东新区民办东鼎外国语学校,155041,2,25500
上海市民办尚德实验学校,155043,3,45000
上海市民办交大南洋中学,164005,10,16800
上海市民办永昌中学,164008,4,40000
上海金山区世外学校,165004,3,37000
上海市松江区科德高级中学,173002,2,100000
上海市西外外国语学校,175018,4,32000
上海赫贤学校,175024,1,102000
上海青浦区世外高级中学,184006,2,108000
上海青浦区宏润博源高级中学,184007,1,97500
上海青浦区协和双语学校,185014,2,85000
上海美达菲双语高级中学,204020,1,40000
上海奉贤区博华双语学校,205006,2,17000
上海民办民一中学,514010,12,20000
