学校代码,学校名称,委属市示范性高中分配结果,委属市示范性高中分配结果,委属市示范性高中分配结果,委属市示范性高中分配结果,委属市示范性高中分配结果,区属市示范性高中分配结果,区属市示范性高中分配结果,区属市示范性高中分配结果,区属市示范性高中分配结果,分配结果总计
学校代码,学校名称,华二,上中,复附,交附,上师大,华二普陀,二中,晋元,宜川,分配结果总计
71045,上海市洵阳中学,0,0,0,0,0,1,1,2,2,6
71046,上海市北海中学,0,0,0,0,0,1,5,4,4,14
71047,上海市延河中学,0,0,0,0,0,1,3,3,3,10
71048,上海市曹杨第二中学附属实验中学,0,0,0,1,0,2,4,5,5,17
71049,华东师范大学第四附属中学,0,0,1,0,0,2,6,6,7,22
71050,上海市怒江中学,0,0,0,0,0,1,2,1,1,5
71051,上海师范大学附属第二实验学校,0,0,0,0,0,1,4,4,4,13
71053,上海市真北中学,0,0,0,0,0,1,3,3,3,10
71054,上海市普陀区教育学院附属中学,0,0,1,0,0,4,11,11,10,37
71056,上海市梅陇中学,0,1,0,0,0,6,17,19,18,61
71060,上海兰田中学,0,0,0,0,0,2,7,8,8,25
73004,上海市曹杨中学,0,0,0,0,0,2,6,7,7,22
74005,同济大学第二附属中学,0,0,0,0,0,4,9,8,9,30
74009,上海市新杨中学,0,0,0,0,0,2,6,7,6,21
74010,上海市长征中学,0,0,0,1,0,2,6,6,6,21
74011,上海市桃浦中学,0,0,0,0,0,1,3,3,3,10
74012,上海市晋元高级中学附属学校南校,0,0,0,0,0,1,2,1,2,6
74016,上海音乐学院附属安师实验中学,0,0,0,0,0,1,1,1,1,4
74018,上海华东师范大学附属进华中学,0,0,0,1,0,3,9,9,8,30
74081,上海安生学校,0,0,0,0,0,1,2,1,1,5
75013,上海培佳双语学校,0,0,0,0,0,2,6,7,8,23
75044,上海市光新学校,0,0,0,0,0,1,1,1,1,4
75061,上海市铜川学校,0,0,0,0,0,1,3,4,3,11
75062,上海市沙田学校,0,0,0,0,0,1,2,2,2,7
75063,华东师范大学附属外国语实验学校,0,0,0,0,0,2,6,7,6,21
75064,上海市子长学校,0,0,0,0,0,1,1,1,1,4
75065,上海市洛川学校,0,0,0,0,0,1,2,2,2,7
75066,上海市宜川中学附属学校,0,0,1,0,0,1,3,4,5,14
75067,上海市曹杨中学附属学校,0,0,0,0,0,2,4,3,3,12
75068,上海市普陀区教育学院附属学校,0,0,0,0,0,1,1,1,2,5
75069,上海市晋元高级中学附属学校,0,0,0,0,0,4,13,12,13,42
75070,上海市曹杨第二中学附属学校,0,0,0,1,0,3,9,10,11,34
75071,上海市民办新黄浦实验学校,0,0,0,0,0,1,2,4,3,10
75072,上海市江宁学校,1,0,0,0,0,2,7,6,6,22
75073,上海市中远实验学校,0,0,0,0,1,2,7,7,6,23
75077,上海市金鼎学校,0,0,0,0,0,1,1,1,1,4
75078,上海外国语大学尚阳外国语学校,0,1,0,0,0,1,6,5,5,18
75079,上海市文达学校,1,0,0,0,0,1,4,4,3,13
75080,上海理工大学附属普陀实验学校,0,0,0,0,0,1,1,1,1,4
75113,上海市万里城实验学校,0,0,0,1,0,1,6,5,6,19
