学校代码,毕业学校,委属名额,区属名额数,区属名额数,区属名额数,区属名额数,区属名额数
学校代码,毕业学校,委属名额,上海市松江二中,上海市松江一中,上海外国语大学附属外国语学校松江云间中学,华东师范大学第二附属中学松江分校,合计
171001,上海市松江区第七中学,,13,14,14,5,46
171002,"上海对外经贸大学附属松江实验
学校花园分校",上海交通大学附属中学,10,9,10,3,32
171003,上海市松江二中（集团）初级中学,,6,6,6,2,20
171004,上海市松江四中初级中学,,5,4,4,1,14
171006,上海市松江区九亭中学,,12,12,12,3,39
171013,上海市松江区第六中学,,7,7,6,2,22
171015,上海市松江区九亭第二中学,,4,5,5,1,15
174001,上海市松江区立达中学,,2,2,2,1,7
174005,上海市松江区新桥中学,复旦大学附属中学,3,3,4,1,11
174007,上海市松江区民办茸一中学,,7,7,7,2,23
174008,上海市松江九峰实验学校,,9,9,8,2,28
174013,上海领科双语学校,,3,3,3,1,10
175001,上海市松江区洞泾学校,,5,5,5,1,16
175002,上海市松江区李塔汇学校,华东师范大学第二附属中学,1,1,1,1,4
175003,上海市松江区古松学校,,1,1,1,1,4
175004,上海市松江区泖港学校,,1,1,1,1,4
175005,上海市松江区民乐学校,上海师范大学附属中学,7,7,7,2,23
175007,上海市松江区泗泾实验学校,,3,3,3,1,10
175008,上海市松江区佘山外国语实验学校,,2,2,2,1,7
175009,上海市松江区五厍学校,复旦大学附属中学,1,1,1,1,4
175010,东华大学附属实验学校松江小昆山分校,,2,2,2,1,7
175011,上海市松江区仓桥学校,上海中学,4,5,5,1,15
175012,上海市松江区佘山学校,上海交通大学附属中学,2,2,2,1,7
175013,上海市三新学校,,8,9,8,3,28
175014,上海世外教育附属松江区车墩学校,,1,1,2,1,5
175015,上海市松江区张泽学校,,1,1,1,1,4
175016,上海市松江区天马山学校,,1,1,1,1,4
175017,上海戏剧学院附属松江实验学校,,1,1,1,1,4
175018,上海市西外外国语学校,上海师范大学附属中学,7,6,6,2,21
175019,上海市松江区叶榭学校,,2,2,2,1,7
175020,上海外国语大学松江外国语学校,上海中学,12,11,11,3,37
175022,上海市松江区新浜学校,,1,1,1,1,4
175023,东华大学附属实验学校,,9,10,9,3,31
175024,上海赫贤学校,,1,1,1,1,4
175026,华东政法大学附属松江实验学校,上海交通大学附属中学,8,8,9,2,27
175028,上海市松江区新闵学校,,6,5,5,1,17
175029,上海师范大学附属松江实验学校,,2,3,3,1,9
175030,上海工程技术大学附属松江泗泾实验学校,,3,2,3,1,9
175037,上海市三新学校松江东部分校,,9,9,8,3,29
合计,合计,10,182,182,182,62,608
